text_id,clause,answer,evidence,justification
authority_00000,D_entity,1,"como Sarkozy e Hollande podem confirmar, gostamos de ter os nossos reis",The text explicitly mentions Sarkozy and Hollande as confirming that the culture enjoys having kings.
authority_00000,X_equality,0,,The text does not explicitly raise a concern about group-based discrimination or unequal treatment.
authority_00000,X_proportionality,0,,"The text does not raise a concern about corruption, nepotism, cheating, or unfair reward."
authority_00000,X_loyalty,1,gostamos de ter os nossos reis... gostamos ainda mais de lhes cortar a cabeça,"The text explicitly expresses a desire for monarchy and a satirical desire to behead its representatives, indicating concern about in-group loyalty and betrayal."
authority_00000,A_order_stance,0,,"The text does not take a stance about obedience, deference, or social order, as it expresses a critical view of political power but does not explicitly call for obedience, demand deference, or condemn rioting."
authority_00000,A_order_values,0,,"The text does not explicitly uphold or reject obedience, hierarchy, tradition, or social order as values."
authority_00000,A_assess_authority,1,gostamos de ter os nossos reis... gostamos ainda mais de lhes cortar a cabeça.,"The text explicitly judges the authority of leaders by likening them to kings and expressing a desire to depose them, indicating a critique of their power role."
authority_00001,D_entity,0,,"O texto não menciona explicitamente nenhuma autoridade, autoridade-detentora ou ordem social como um líder, governo, religião ou instituição."
authority_00001,X_equality,1,tu esta noite cometeste o pior pecado de todos,"A frase acusa uma ação que é considerada um pecado grave, implicando uma falha moral que pode estar relacionada com a discriminação ou exclusão de um grupo."
authority_00001,X_proportionality,1,tu esta noite cometeste o pior pecado de todos,"The text expresses a concern about an unjust action, implying someone received more than they deserve."
authority_00001,X_loyalty,1,éseres uma pessoa 'woke' a partilhar uma falsa modéstia,"A frase expressa uma crítica à perceção de hipocrisia e insinua um pecado grave, implicando uma preocupação com a lealdade e a traição dentro de um grupo."
authority_00001,A_order_stance,0,,"The text does not explicitly support or oppose obedience, deference, or social order."
authority_00001,A_order_values,0,,"O texto não avalia explicitamente a obediência, a hierarquia, a tradição ou a ordem social como valores, nem os apoia nem os rejeita."
authority_00001,A_assess_authority,1,éseres uma pessoa 'woke' a partilhar uma falsa modéstia,"O texto julga a pessoa pelo seu comportamento e por ser considerada 'woke', implicando uma crítica à sua postura e atitude."
authority_00002,D_entity,1,o regime,The text refers to 'o regime' as an instance of a political authority.
